Concessioner Lodging Overnights_label,Concessioner Lodging Overnights_Chart1_CategoryGroup_label,Concessioner Lodging Overnights_Chart1_CategoryGroup_Value_Y,Concessioner Camping Overnights_label,Concessioner Camping Overnights_Chart1_CategoryGroup_Value_Y,Tent Overnights_label,Tent Overnights_Chart1_CategoryGroup_Value_Y,Recreation Vehicle Overnights_label,Recreation Vehicle Overnights_Chart1_CategoryGroup_Value_Y,Backcountry Overnights_label,Backcountry Overnights_Chart1_CategoryGroup_Value_Y,Miscellaneous Overnights_label,Miscellaneous Overnights_Chart1_CategoryGroup_Value_Y,Non Recreation Overnights_label,Non Recreation Overnights_Chart1_CategoryGroup_Value_Y
Concessioner Lodging Overnights,1992,643405,Concessioner Camping Overnights,116706,Tent Overnights,262206,Recreation Vehicle Overnights,317288,Backcountry Overnights,42124,Miscellaneous Overnights,10484,Non Recreation Overnights,0
Concessioner Lodging Overnights,1993,592563,Concessioner Camping Overnights,49363,Tent Overnights,279697,Recreation Vehicle Overnights,279096,Backcountry Overnights,45070,Miscellaneous Overnights,13440,Non Recreation Overnights,0
Concessioner Lodging Overnights,1994,569747,Concessioner Camping Overnights,83609,Tent Overnights,280066,Recreation Vehicle Overnights,292277,Backcountry Overnights,45460,Miscellaneous Overnights,12221,Non Recreation Overnights,0
Concessioner Lodging Overnights,1995,567415,Concessioner Camping Overnights,471154,Tent Overnights,88893,Recreation Vehicle Overnights,64937,Backcountry Overnights,45934,Miscellaneous Overnights,12214,Non Recreation Overnights,0
Concessioner Lodging Overnights,1996,550768,Concessioner Camping Overnights,463553,Tent Overnights,70866,Recreation Vehicle Overnights,47613,Backcountry Overnights,45769,Miscellaneous Overnights,9151,Non Recreation Overnights,0
Concessioner Lodging Overnights,1997,563982,Concessioner Camping Overnights,451887,Tent Overnights,84698,Recreation Vehicle Overnights,64337,Backcountry Overnights,44819,Miscellaneous Overnights,11607,Non Recreation Overnights,0
Concessioner Lodging Overnights,1998,569935,Concessioner Camping Overnights,477211,Tent Overnights,84103,Recreation Vehicle Overnights,60724,Backcountry Overnights,45614,Miscellaneous Overnights,13257,Non Recreation Overnights,0
Concessioner Lodging Overnights,1999,581761,Concessioner Camping Overnights,461826,Tent Overnights,76803,Recreation Vehicle Overnights,65033,Backcountry Overnights,41319,Miscellaneous Overnights,11777,Non Recreation Overnights,0
Concessioner Lodging Overnights,2000,572069,Concessioner Camping Overnights,422971,Tent Overnights,75505,Recreation Vehicle Overnights,62856,Backcountry Overnights,39297,Miscellaneous Overnights,18663,Non Recreation Overnights,0
Concessioner Lodging Overnights,2001,584929,Concessioner Camping Overnights,461787,Tent Overnights,76297,Recreation Vehicle Overnights,63635,Backcountry Overnights,43111,Miscellaneous Overnights,14690,Non Recreation Overnights,0
Concessioner Lodging Overnights,2002,585859,Concessioner Camping Overnights,501578,Tent Overnights,75974,Recreation Vehicle Overnights,62670,Backcountry Overnights,43682,Miscellaneous Overnights,15178,Non Recreation Overnights,0
Concessioner Lodging Overnights,2003,559775,Concessioner Camping Overnights,478854,Tent Overnights,82134,Recreation Vehicle Overnights,69722,Backcountry Overnights,46087,Miscellaneous Overnights,14592,Non Recreation Overnights,0
Concessioner Lodging Overnights,2004,560385,Concessioner Camping Overnights,458690,Tent Overnights,71271,Recreation Vehicle Overnights,65852,Backcountry Overnights,38270,Miscellaneous Overnights,12948,Non Recreation Overnights,0
Concessioner Lodging Overnights,2005,526462,Concessioner Camping Overnights,484130,Tent Overnights,69452,Recreation Vehicle Overnights,64136,Backcountry Overnights,33974,Miscellaneous Overnights,11519,Non Recreation Overnights,0
Concessioner Lodging Overnights,2006,541897,Concessioner Camping Overnights,415306,Tent Overnights,70963,Recreation Vehicle Overnights,62487,Backcountry Overnights,37276,Miscellaneous Overnights,13235,Non Recreation Overnights,0
Concessioner Lodging Overnights,2007,555290,Concessioner Camping Overnights,536112,Tent Overnights,77754,Recreation Vehicle Overnights,66632,Backcountry Overnights,38040,Miscellaneous Overnights,13817,Non Recreation Overnights,0
Concessioner Lodging Overnights,2008,570623,Concessioner Camping Overnights,434117,Tent Overnights,78035,Recreation Vehicle Overnights,57879,Backcountry Overnights,39603,Miscellaneous Overnights,13930,Non Recreation Overnights,0
Concessioner Lodging Overnights,2009,564911,Concessioner Camping Overnights,509377,Tent Overnights,83465,Recreation Vehicle Overnights,64637,Backcountry Overnights,39736,Miscellaneous Overnights,13521,Non Recreation Overnights,0
Concessioner Lodging Overnights,2010,575313,Concessioner Camping Overnights,512665,Tent Overnights,87580,Recreation Vehicle Overnights,69825,Backcountry Overnights,45045,Miscellaneous Overnights,15890,Non Recreation Overnights,0
Concessioner Lodging Overnights,2011,591101,Concessioner Camping Overnights,498037,Tent Overnights,79585,Recreation Vehicle Overnights,60168,Backcountry Overnights,37292,Miscellaneous Overnights,14795,Non Recreation Overnights,0
Concessioner Lodging Overnights,2012,612163,Concessioner Camping Overnights,532127,Tent Overnights,89249,Recreation Vehicle Overnights,64463,Backcountry Overnights,40460,Miscellaneous Overnights,11774,Non Recreation Overnights,0
Concessioner Lodging Overnights,2013,595841,Concessioner Camping Overnights,532895,Tent Overnights,88762,Recreation Vehicle Overnights,63897,Backcountry Overnights,40623,Miscellaneous Overnights,11537,Non Recreation Overnights,0
Concessioner Lodging Overnights,2014,560372,Concessioner Camping Overnights,539461,Tent Overnights,86281,Recreation Vehicle Overnights,77383,Backcountry Overnights,41243,Miscellaneous Overnights,8519,Non Recreation Overnights,0
Concessioner Lodging Overnights,2015,552940,Concessioner Camping Overnights,584979,Tent Overnights,104149,Recreation Vehicle Overnights,69830,Backcountry Overnights,44898,Miscellaneous Overnights,11715,Non Recreation Overnights,0
Concessioner Lodging Overnights,2016,579227,Concessioner Camping Overnights,583068,Tent Overnights,101639,Recreation Vehicle Overnights,68991,Backcountry Overnights,44663,Miscellaneous Overnights,10986,Non Recreation Overnights,0
Concessioner Lodging Overnights,2017,613218,Concessioner Camping Overnights,611098,Tent Overnights,96293,Recreation Vehicle Overnights,69723,Backcountry Overnights,43378,Miscellaneous Overnights,14270,Non Recreation Overnights,0
Concessioner Lodging Overnights,2018,632913,Concessioner Camping Overnights,616089,Tent Overnights,88562,Recreation Vehicle Overnights,74771,Backcountry Overnights,41978,Miscellaneous Overnights,11815,Non Recreation Overnights,0
,,,,,,,,,,,,,,
ReportYear,ConcessionerLodgingOvernights,Textbox5,TentOvernights,RecreationVehicleOvernights,BackcountryOvernights,MiscellaneousOvernights,NonRecreationOvernights,,,,,,,
2018,"632,913","616,089","88,562","74,771","41,978","11,815",0,,,,,,,
2017,"613,218","611,098","96,293","69,723","43,378","14,270",0,,,,,,,
2016,"579,227","583,068","101,639","68,991","44,663","10,986",0,,,,,,,
2015,"552,940","584,979","104,149","69,830","44,898","11,715",0,,,,,,,
2014,"560,372","539,461","86,281","77,383","41,243","8,519",0,,,,,,,
2013,"595,841","532,895","88,762","63,897","40,623","11,537",0,,,,,,,
2012,"612,163","532,127","89,249","64,463","40,460","11,774",0,,,,,,,
2011,"591,101","498,037","79,585","60,168","37,292","14,795",0,,,,,,,
2010,"575,313","512,665","87,580","69,825","45,045","15,890",0,,,,,,,
2009,"564,911","509,377","83,465","64,637","39,736","13,521",0,,,,,,,
2008,"570,623","434,117","78,035","57,879","39,603","13,930",0,,,,,,,
2007,"555,290","536,112","77,754","66,632","38,040","13,817",0,,,,,,,
2006,"541,897","415,306","70,963","62,487","37,276","13,235",0,,,,,,,
2005,"526,462","484,130","69,452","64,136","33,974","11,519",0,,,,,,,
2004,"560,385","458,690","71,271","65,852","38,270","12,948",0,,,,,,,
2003,"559,775","478,854","82,134","69,722","46,087","14,592",0,,,,,,,
2002,"585,859","501,578","75,974","62,670","43,682","15,178",0,,,,,,,
2001,"584,929","461,787","76,297","63,635","43,111","14,690",0,,,,,,,
2000,"572,069","422,971","75,505","62,856","39,297","18,663",0,,,,,,,
1999,"581,761","461,826","76,803","65,033","41,319","11,777",0,,,,,,,
1998,"569,935","477,211","84,103","60,724","45,614","13,257",0,,,,,,,
1997,"563,982","451,887","84,698","64,337","44,819","11,607",0,,,,,,,
1996,"550,768","463,553","70,866","47,613","45,769","9,151",0,,,,,,,
1995,"567,415","471,154","88,893","64,937","45,934","12,214",0,,,,,,,
1994,"569,747","83,609","280,066","292,277","45,460","12,221",0,,,,,,,
1993,"592,563","49,363","279,697","279,096","45,070","13,440",0,,,,,,,
1992,"643,405","116,706","262,206","317,288","42,124","10,484",0,,,,,,,
1991,"638,242","112,397","257,824","312,592","41,476","13,918",0,,,,,,,
1990,"640,603","102,101","216,000","336,026","37,138","13,276",0,,,,,,,
1989,"611,508","87,304","204,756","346,283","32,986","9,198",0,,,,,,,
1988,"526,690","105,887","176,677","269,773","25,155","4,814",0,,,,,,,
1987,"624,144","111,926","244,825","376,512","32,928","7,237",0,,,,,,,
1986,"598,164","108,789","200,490","359,962","31,627","9,275",0,,,,,,,
1985,"601,849","106,295","194,775","327,086","32,643","7,744",0,,,,,,,
1984,"600,030","111,194","228,915","301,056","33,049","10,730",0,,,,,,,
1983,"569,639","103,443","200,384","366,594","43,738","8,584",0,,,,,,,
1982,"574,214","98,835","233,395","349,319","50,491","10,469",0,,,,,,,
1981,"571,538","110,076","244,894","391,437","55,060","12,583",0,,,,,,,
1980,"577,171","93,088","198,216","317,349","24,010","10,112",0,,,,,,,
1979,"537,607","102,910","219,297","358,266","46,142","10,199",0,,,,,,,
